Setup,Punishment,Average Loss,Last Epoch Loss,is Loss min,Task Converge,Task Fail Percentage,Safe Converge,Safe Fail Percentage,Average Time,Last Epoch Time,Average Energy,Last Epoch Energy,Average Reward,Total Reward,Alpha,Beta,First 10 Avg Time,Last 10 Avg Time,First 10 Avg Energy,Last 10 Avg Energy,First 10 Avg Safe Fail,Last 10 Avg Safe Fail,First 10 Avg Task Fail,Last 10 Avg Task Fail
6,15,-26.763845,-57.55415,0,9975,0.0556944305569443,9975,0.0351964803519648,0.3027335402688837,0.383119145,0.0156503594198582,0.0098157084888663,-1.4244495125676924,-15.522458323178876,,,,,,,,,,
6,15,-32.846806,-84.158264,0,9441,0.0545945405459454,9916,0.0360963903609639,0.3105998906479406,0.41335124,0.0150701864512094,0.0090593297113761,-1.4339500285051197,-16.047435137097246,,,,,,,,,,
6,15,-29.542051,-68.19329,0,9952,0.0612938706129387,9904,0.0387961203879612,0.23682163632975,0.5197879731249999,0.0264964526080155,0.0182784012956615,-1.3532357516823117,-18.60538232827316,,,,,,,,,,
8,10,-14.278052,-12.658636,0,10000,0.5603439656034397,9999,0.3355664433556644,0.1378814345462011,0.1492171476666667,0.0503238471808713,0.0439336433105997,0.7268128702866055,8.317242688925818,,,,,,,,,,
8,10,-11.907617,-12.23825,0,10001,0.575942405759424,9999,0.3297670232976702,0.1373517437333856,0.1811973991666667,0.050463339454484,0.0747276816386701,0.7277559483595945,17.03372335330398,,,,,,,,,,
8,10,-13.077977,-28.816223,0,10001,0.5633436656334366,9996,0.3263673632636736,0.1356153651941184,0.1773274901666666,0.0509159001622788,0.0319766207493492,0.7295180002548961,17.277703238693938,,,,,,,,,,
8,10,-13.523621,-12.553259,0,9998,0.5648435156484352,9998,0.3354664533546645,0.1358760911719307,0.2426589345166666,0.0505789168811383,0.0582325621432003,0.7277776482156395,7.718622994881237,,,,,,,,,,
8,100,-39.30495,-103.962296,0,10000,0.4168583141685831,10001,0.3668633136686331,0.1174441997533647,0.1773851462647619,0.0591748154376699,0.052765188914841,0.754575647424569,107.14866211914394,,,,,,,,,,
8,100,-41.49485,-6.482362,0,10000,0.4097590240975902,9999,0.3577642235776422,0.1169594906342869,0.1967657012416666,0.0595907674977667,0.0431391795467918,0.7565328310255879,8.14935319712837,,,,,,,,,,
8,10,-14.110251,-13.999852,0,9999,0.563943605639436,10000,0.3302669733026697,0.1373959962187687,0.113185423805238,0.0503595608075232,0.0608330758653552,0.7289468033143397,8.454903280901412,,,,,,,,,,
